year,balPayments,expDlr,expWgt,impDlr,impWgt
2015.01,2909150931,9490450555,118164329,6581299624,91089942
2015.02,2586153194,8246231718,106768233,5660078524,82223236
2015.03,3296644684,9756890979,130305633,6460246295,83927084
2015.04,3295753981,9622910116,121908073,6327156135,78571766
2015.05,3869369309,9290169208,110060360,5420799899,81108478
2015.06,3147094814,9014631191,115923863,5867536377,105557045
2015.07,2566008888,9006556935,133414858,6440548047,81307552
2015.08,3442180292,9247800573,121786002,5805620281,78426712
2015.09,4706275913,10526987229,139863125,5820711316,82807899
2015.10,3752140181,10071890710,132878354,6319750529,76273651
2015.11,3671880182,9337750495,114955803,5665870313,69690395
2015.12,3170591513,8763203652,127087693,5592612139,76289606
2016.01,2246290260,7544967311,114686439,5298677051,63937581
2016.02,1671172052,7121448880,114028401,5450276828,62963890
2016.03,2319192322,8671840637,135573872,6352648315,72185560
2016.04,1549565225,7545819593,119557614,5996254368,65596418
2016.05,2621264050,7895811125,128070523,5274547075,67809734
2016.06,2747452208,8491688703,134828921,5744236495,69821895
2016.07,2427924180,8242791150,137969472,5814866970,68706640
2016.08,1940510227,8582944099,133159177,6642433872,73692635
2016.09,2917191953,9125325383,143515450,6208133430,73370924
2016.10,3038602883,9254764628,134537275,6216161745,72241812
2016.11,2910413306,9252635231,137316131,6342221925,77403121
2016.12,2622328308,9523271132,141715646,6900942824,81307788
2017.01,1535529161,8151095071,123970608,6615565910,75425093
2017.02,2272890094,8321113892,129981124,6048223798,70844131
2017.03,1445274743,9348587230,143682019,7903312487,88120230
2017.04,2221779251,9247927763,142144686,7026148512,80230609
2017.05,1965671936,9258522318,136324872,7292850382,87376970
2017.06,1290573782,8997993306,142329691,7707419524,95284465
2017.07,1385536739,8992932119,137683554,7607395380,90338530
2017.08,1958639762,9666779397,145272802,7708139635,92076952
2017.09,2122962610,10459416617,159540219,8336454007,98306910
2017.10,1710959983,8945155290,125380037,7234195307,84137241
2017.11,2181699502,9747918643,145628334,7566219141,102048800
2017.12,998281014,9194247011,139523959,8195965997,103595909
2018.01,1057414476,9684407915,144909640,8626993439,104694980
2018.02,1162375308,8238099050,122196421,7075723742,82100537
2018.03,1409337785,9624617360,144734060,8215279575,102535858
2018.04,1222254040,9049783262,132156228,7827529222,97332677
2018.05,1745575311,9344388031,135183098,7598812720,106947506
2018.06,2524444443,9640873293,139764398,7116428850,98513968
2018.07,2832211277,9768785397,150298968,6936574120,97746511
2018.08,3355191248,10164683716,157972724,6809492468,98512508
2018.09,2735941629,9725719415,140155678,6989777786,89179011
2018.10,2823112804,10162996817,152168819,7339884013,112420668
2018.11,3426570968,10343059425,137101376,6916488457,104075042
2018.12,2750449894,9793117300,131643398,7042667406,94233507
2019.01,1984204085,9201752066,142480700,7217547981,105927483
2019.02,2261777683,7766578494,121265537,5504800811,80171855
2019.03,2168323064,9172919432,137247667,7004596368,95887955
2019.04,1496461601,9042738238,142121745,7546276637,105724500
2019.05,1802477875,8773691990,140077750,6971214115,103667299
2019.06,2180195190,8506688349,129064586,6326493159,99953150
2019.07,2152334289,9321485826,140288110,7169151537,126826855
2019.08,2928335857,9565874146,131396293,6637538289,110753986
2019.09,3305171739,9858125897,123439285,6552954158,112669844
2019.10,3541463470,10047303671,131298886,6505840201,105241353
2019.11,2962940404,9354167712,123679993,6391227308,104333914
2019.12,2756574108,9638771677,135192741,6882197569,105219945
2020.01,2517022296,9155503052,129034787,6638480756,114897541
2020.02,2586975768,8819564988,118678553,6232589220,84664254
2020.03,1887071527,10245372645,137990797,8358301118,109949657
2020.04,1430377855,8349028193,107555438,6918650338,115053381
2020.05,1264202264,8537833223,102397088,7273630959,110562981
2020.06,1859814614,9489885948,118633643,7630071334,115109924
2020.07,1243476679,9669013005,134623335,8425536326,119712201
2020.08,2599224827,10036683066,126778711,7437458239,105899746
2020.09,3710187391,11516110619,142602363,7805923228,112601173
2020.10,2834557620,10615598043,125795345,7781040423,100966561
2020.11,3025337318,10967573081,127551026,7942235763,105178081
2020.12,2717772409,11960801613,138553890,9243029204,115306107
2021.01,763043698,10672097601,118931881,9909053903,103138863
2021.02,1500114452,9655789147,114214968,8155674695,92570797
2021.03,863978040,10978772184,137291754,10114794144,124346548
2021.04,785852027,10872901093,128211514,10087049066,118437077
2021.05,1718268848,10864392575,124340369,9146123727,114361092
2021.06,2634759162,11590640044,135867454,8955880882,124326505
2021.07,2183452159,12150762805,135806536,9967310646,119989310
2021.08,3420737224,12706432405,124819327,9285695181,130290379
2021.09,4026342207,13419481996,127108944,9393139789,122953201
2021.10,3482169542,12653500164,125814057,9171330622,131649749
2021.11,3518269123,13649827177,128356115,10131558054,140006713
2021.12,3063516373,14081465832,133490830,11017949459,144182701
2022.01,175858050,9665546765,105519759,9489688715,132519048
2022.02,984715016,9574685264,98285222,8589970248,118476449
2022.03,2040301888,11646610090,120730555,9606308202,131088437
2022.04,1306280134,10400692571,107162166,9094412437,123902135
2022.05,1017692196,10356513291,111384071,9338821095,123368594
2022.06,1030159355,10715135634,99525380,9684976279,123614787
2022.07,186143641,10506056042,100954145,10319912401,120503989
2022.08,881590217,10964190905,98815693,10082600688,127535547
2022.09,1837822676,12010694166,99002822,10172871490,115048887
2022.10,516116955,10286841118,91119083,9770724163,111407150
2022.11,-985214087,9491262412,88439335,10476476499,107860875
2022.12,357557102,10500731400,101991903,10143174298,114124749
2023.01,-1854573127,7536019589,87069064,9390592716,115554827
2023.02,-1240920955,7330993236,95415431,8571914191,96764046
2023.03,-751741862,9068003117,104509044,9819744979,121741496
2023.04,-1863646418,7124453467,88286776,8988099885,108086513
2023.05,-449000603,8272999940,93348216,8722000543,116567674
2023.06,-118837752,8998064782,98214752,9116902534,113551981
2023.07,-725085323,8121300043,92090988,8846385366,109232266
2023.08,502062147,8937159995,96243374,8435097848,121601801
2023.09,1466546786,10087960383,91803129,8621413597,109203815
2023.10,886422511,9559117653,86089628,8672695142,109068168
2023.11,1608935245,10020132594,100444207,8411197349,117055567
2023.12,1389271382,10165952393,100371737,8776681011,107251452
2024.01,-404778492,8758274291,89894078,9163052783,111960736
2024.02,527675576,8270284994,89352648,7742609418,90117875
2024.03,1461522711,9981171249,94846729,8519648538,106123369
2024.04,643410747,9028200370,97878751,8384789623,113138639
2024.05,1448478389,10054702291,99135444,8606223902,115745579
2024.06,2538644625,10867235786,101865865,8328591161,100856583
2024.07,1368335508,10269538758,107881346,8901203250,96809466
2024.08,2217589516,11060184394,99852626,8842594878,98737612
2024.09,1893092026,12085928098,91844686,10192836072,97378669
2024.10,1228066221,11170806342,92601401,9942740121,103529259
2024.11,929924792,10878880449,94418887,9948955657,97716524
2024.12,1010803387,12278625189,108640822,11267821802,107899784
2025.01,-368657463,9130317058,83030859,9498974521,107289709
2025.02,38529385,9027773067,94540737,8989243682,94198591
2025.03,97284782,10908988258,93887158,10811703476,117409244
2025.04,695814639,10078306973,104337461,9382492334,101147534
2025.05,1659343496,10604452339,87487859,8945108843,93414052
2025.06,1380030627,11334991864,91989035,9954961237,91633469
2025.07,1626552740,11691972602,96913493,10065419862,102593083
2025.08,1839787129,11318366758,84710480,9478579629,101929905
2025.09,1163846417,12456748596,98462924,11292902179,116588519
